,name,ratings,no_of_ratings,discount_price,actual_price
46,AMAZARA Baby Proofing Corner Guards I Pre-Taped Corner Protectors I Child Safety Edge Guards I 10 Pieces Brown,4.2,11784.0,316.0,599.0
47,"Little's Comfy Baby Pants - Premium, 12 Hours Absorption, Wetness Indicator, Cotton Soft, Large,White, 62 Count",3.9,1730.0,625.0,999.0
48,Mee Mee Anti-Bacterial Baby Laundry Detergent(1.5 Litre liquid),4.4,4555.0,600.0,799.0
49,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 2",4.4,102725.0,145.0,380.0
50,Mamaearth Deeply nourishing wash for babies (200 ml),4.3,11401.0,152.0,199.0
51,"LuvLap Mobby Little Spout Sipper, BPA Free, 240 ml, 6m+ (Blue)",4.0,5639.0,199.0,259.0
52,"LuvLap Elegant Baby Hair Brush and Comb Set, 0m+ (White)",4.2,7404.0,169.54,219.0
53,Sebamed Baby Cream Extra Soft 50m|Ph 5.5| Panthenol and Jojoba Oil|Clinically tested| ECARF Approved,4.5,6629.0,591.0,700.0
54,KidDough Furniture Safety Locks for Kids (10 White Locks),4.1,4853.0,399.0,550.0
55,Toyshine Kids Wooden Angle Geometric Blocks Stacker Shape Sorter Column Puzzle Stacking Set - B (21 pieces),4.6,5238.0,426.0,999.0
56,"Mamaearth Tea Tree Anti Dandruff Shampoo, With Tea Tree & Ginger Oil, 250ml",3.9,7376.0,324.0,349.0
57,"Johnson's Baby Skincare Wipes with Lid, 72s Twin Pack (Buy 2 Get 1 Free) (432 Wet Wipes), White",4.5,6996.0,809.0,1290.0
58,Babique Octopus Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (17 cm),4.2,1421.0,179.0,799.0
59,"Pampers All round Protection Pants, Small size baby diapers (4-8kg) 56 Count, Anti Rash diapers, Lotion with Aloe Vera",4.3,7447.0,630.0,849.0
60,"Pampers Active Baby Taped Diapers, Small size diapers, (SM) 46 count, taped style custom fit",4.5,65629.0,698.0,775.0
61,Aveeno Baby Daily Moisturising Lotion for Delicate Skin (227g),4.4,7064.0,715.0,1149.0
62,"Philips Avent Plastic BPA Free Material Aven Straw Cup SCF796/00 200 ML 1 Piece, Multi",4.3,10632.0,449.0,499.0
63,"Mamaearth Onion Hair Serum For Silky & Smooth Hair, Tames Frizzy Hair, with Onion & Biotin for Strong, Tangle Free & Friz...",3.9,7574.0,277.0,299.0
64,Chinmay Kids 4-in-1 Adjustable Baby Carrier Cum Kangaroo Bag/Honeycomb Texture Baby Carry Sling/Back/Front Carrier for Bab...,3.8,22213.0,499.0,999.0
65,Mamaearth Anti Hair Fall Spa Range Hair Care Set: Onion Shampoo 250 ml + Onion Conditioner 250 ml + Onion Hair Oil 150 ml,3.9,20757.0,964.0,1097.0
66,fizzytech Toys Talking Cactus Baby Toys for Kids Dancing Cactus Toys Can Sing Wriggle & Singing Recording Repeat What You ...,4.1,64.0,599.0,999.0
67,"Chicco Toothpaste, Strawberry Flavour for 12m+ Baby, Fluoride-free, Preservative-free,Cavity Protection (50 millilitre)",4.4,9932.0,148.0,179.0
68,"Huggies Complete Comfort Wonder Pants, Medium (M) Size Baby Diaper Pants, 50 count, with 5 in 1 Comfort",4.2,215914.0,567.0,699.0
69,"Philips Avent Natural Teat 4 Holes Fast Flow for 6months and above, Pack of 2",4.4,8627.0,325.0,335.0
70,Philips Avent Ultra Air Pacifier Pack of 2 | High Ventilation | 98% Acceptance | BPA-Free | for Babies from 0-6 Months (Mo...,4.3,200.0,530.0,550.0
71,"Olay Natural Aura Vitamin B3, Pro B5, E With Uv Protection, 40g",4.2,10665.0,160.0,189.0
72,"Protinex Mama Nutritional Drink - (Chocolate Flavor, 400 Gms, Jar) with 28 Vital Nutrients to Support Healthy Birth Weigh...",4.3,6649.0,649.0,675.0
73,Sebamed Baby Body Lotion 100 ml|Ph 5.5|Camomile & Allantoin| Dermatalogically tested| Sensitive skin,4.5,4529.0,408.0,510.0
74,"Jesa Homes Polyester Adults Mosquito Net for Dubble Bed, Strong 30GSM net, High Durability, Foldable, Tent Shape Mosquito ...",5.0,2.0,579.0,1999.0
75,Philips Avent Natural 2. 0 Blue Feeding Bottle 260ml SCF035/10,4.6,1500.0,554.0,575.0
76,AMAZARA Baby Proofing Edge & Corner Guards | Extra Long 16.4Ft Edge + 8 Pre-Taped Corner Protectors | Child Safety Furnitu...,4.2,9076.0,633.0,999.0
77,"Einstein Box Gift Set for Babies, Newborns and Infants of Age 1-3-6-9-12 Months | High Contrast Gift Set with Set of Rattl...",4.4,1723.0,699.0,999.0
78,"MamyPoko Pants Extra Absorb S136,Unisex Baby, Pack of 136",4.0,174.0,1238.0,1998.0
79,Supples-Comfy Pants-M-34,4.0,127863.0,260.0,399.0
80,"Mamaearth Coco Soft Body Lotion with Coconut Milk & Turmeric, for babies, for 24-Hour Moisturization - 400 ml",4.1,152.0,314.0,449.0
