name,ratings,no_of_ratings,discount_price,actual_price
Mamaearth Deeply nourishing wash for babies (200 ml),4.3,"11,401",152,199
"LuvLap Mobby Little Spout Sipper, BPA Free, 240 ml, 6m+ (Blue)",4,"5,639",199,259
"LuvLap Elegant Baby Hair Brush and Comb Set, 0m+ (White)",4.2,"7,404",169.54,219
Sebamed Baby Cream Extra Soft 50m|Ph 5.5| Panthenol and Jojoba Oil|Clinically tested| ECARF Approved,4.5,"6,629",591,700
KidDough Furniture Safety Locks for Kids (10 White Locks),4.1,"4,853",399,550
Toyshine Kids Wooden Angle Geometric Blocks Stacker Shape Sorter Column Puzzle Stacking Set - B (21 pieces),4.6,"5,238",426,999
"Mamaearth Tea Tree Anti Dandruff Shampoo, With Tea Tree & Ginger Oil, 250ml",3.9,"7,376",324,349
"Johnson's Baby Skincare Wipes with Lid, 72s Twin Pack (Buy 2 Get 1 Free) (432 Wet Wipes), White",4.5,"6,996",809,"1,290"
Babique Octopus Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (17 cm),4.2,"1,421",179,799
"Pampers All round Protection Pants, Small size baby diapers (4-8kg) 56 Count, Anti Rash diapers, Lotion with Aloe Vera",4.3,"7,447",630,849
"Pampers Active Baby Taped Diapers, Small size diapers, (SM) 46 count, taped style custom fit",4.5,"65,629",698,775
Aveeno Baby Daily Moisturising Lotion for Delicate Skin (227g),4.4,"7,064",715,"1,149"
"Philips Avent Plastic BPA Free Material Aven Straw Cup SCF796/00 200 ML 1 Piece, Multi",4.3,"10,632",449,499
"Mamaearth Onion Hair Serum For Silky & Smooth Hair, Tames Frizzy Hair, with Onion & Biotin for Strong, Tangle Free & Friz...",3.9,"7,574",277,299
Chinmay Kids 4-in-1 Adjustable Baby Carrier Cum Kangaroo Bag/Honeycomb Texture Baby Carry Sling/Back/Front Carrier for Bab...,3.8,"22,213",499,999
Mamaearth Anti Hair Fall Spa Range Hair Care Set: Onion Shampoo 250 ml + Onion Conditioner 250 ml + Onion Hair Oil 150 ml,3.9,"20,757",964,"1,097"
fizzytech Toys Talking Cactus Baby Toys for Kids Dancing Cactus Toys Can Sing Wriggle & Singing Recording Repeat What You ...,4.1,64,599,999
"Chicco Toothpaste, Strawberry Flavour for 12m+ Baby, Fluoride-free, Preservative-free,Cavity Protection (50 millilitre)",4.4,"9,932",148,179
"Huggies Complete Comfort Wonder Pants, Medium (M) Size Baby Diaper Pants, 50 count, with 5 in 1 Comfort",4.2,"2,15,914",567,699
"Philips Avent Natural Teat 4 Holes Fast Flow for 6months and above, Pack of 2",4.4,"8,627",325,335
Philips Avent Ultra Air Pacifier Pack of 2 | High Ventilation | 98% Acceptance | BPA-Free | for Babies from 0-6 Months (Mo...,4.3,200,530,550
"Olay Natural Aura Vitamin B3, Pro B5, E With Uv Protection, 40g",4.2,"10,665",160,189
"Protinex Mama Nutritional Drink - (Chocolate Flavor, 400 Gms, Jar) with 28 Vital Nutrients to Support Healthy Birth Weigh...",4.3,"6,649",649,675
Sebamed Baby Body Lotion 100 ml|Ph 5.5|Camomile & Allantoin| Dermatalogically tested| Sensitive skin,4.5,"4,529",408,510
"Jesa Homes Polyester Adults Mosquito Net for Dubble Bed, Strong 30GSM net, High Durability, Foldable, Tent Shape Mosquito ...",5,2,579,"1,999"
Philips Avent Natural 2. 0 Blue Feeding Bottle 260ml SCF035/10,4.6,"1,500",554,575
AMAZARA Baby Proofing Edge & Corner Guards | Extra Long 16.4Ft Edge + 8 Pre-Taped Corner Protectors | Child Safety Furnitu...,4.2,"9,076",633,999
"Einstein Box Gift Set for Babies, Newborns and Infants of Age 1-3-6-9-12 Months | High Contrast Gift Set with Set of Rattl...",4.4,"1,723",699,999
"MamyPoko Pants Extra Absorb S136,Unisex Baby, Pack of 136",4,174,"1,238","1,998"
Supples-Comfy Pants-M-34,4,"1,27,863",260,399
"Mamaearth Coco Soft Body Lotion with Coconut Milk & Turmeric, for babies, for 24-Hour Moisturization - 400 ml",4.1,152,314,449
"Himalaya Herbals Under Eye Cream, 15ml",3.8,"6,804",168,200
"MamyPoko Pants Extra Absorb XL32,Unisex Baby, Pack of 32",4.2,107,575,799
Wembley Dancing Monkey Musical Toys for Kids Baby Spinning Rolling Doll Tumble Toy with Voice Control Musical Light and So...,3.6,197,399,699
"Johnson's Baby Lotion For New Born, 500ml",4.5,"9,538",347,375
"LuvLap 100% Cotton Muslin Baby Swaddle Set, Printed Muslin Swaddle Wrap for New Born Baby, Size-120cm x 100cm, 0-18 Mont...",4.5,"5,228",639,839
"The Moms Co. Tear-Free Natural Baby Body Wash with Calendula, Avocado Oils & USDA-Certified Organic Oils Like Argan, Chamo...",4.4,"3,966",489,699
"Luv Lap Baby Diaper Pants S Size (Small) , with Aloe Vera Lotion for rash protection, Pack of 78 Count, with upto 12Hr pro...",4,"12,797",836,999
"Luv Lap Turtle Shaped Baby Manual Toothbrush & Toddler Toothbrush, Extra Soft with 10,000 Ultra Soft Floss Bristle for Bab...",4.2,382,65,79
"Luv Lap Washable Maternity Nursing Breast Pads, 6 Pcs, Reusable, Leak-proof",3.9,"3,155",289,349
Hamdard Safi Blood Purifier Syrup Skin Care Pimple Free for Natural Glowing Skin 500 ml,4.2,"1,437",208,230
"Luv Lap LuvLap Steel Feeding Baby Bottle, BPA Free Anti Colic, Made of SS304 Steel, Handle, 3M+ - 240 ml",4.1,"1,399",565,599
Mamaearth Aqua Glow Gel Face Moisturizer With Himalayan Thermal Water and Hyaluronic Acid for 72 Hours Hydration 100ml,4.2,963,593,699
"LuvLap Super Soft Baby Toothbrush, Ultra Soft baby toothbrush with High Density unique 10,000+ Floss Bristles for ultimate...",4.3,105,148,179
Wowper Fresh Baby Diaper Pants | Medium Size Diapers | Diapers with Wetness Indicator | Upto 10 Hrs Absorption | 7-12 Kg |...,3.7,"3,383",545,798
"Aveeno Baby Soothing Relief Moisture Cream Fragrance Free, 227g",4.4,"5,961",934,999
"Little Angel Extra Dry Baby Pants Diaper, Small (S) Size, 120 Count, Super Absorbent Core Up to 12 Hrs. Protection, Soft E...",4,"46,531",893,"1,498"
"BLOOMBUDDY Organic Growth Booster Fertilizer Manure for plants (1 KG, Granules), Pack of 1",4,"3,772",312,"2,475"
Classic Mosquito Net for Double Bed | Queen Size Foldable Machardani | Polyester 30GSM Strong Net | PVC Coated Corrosion R...,4.2,"61,552",899,"2,000"
Wowper Fresh Baby Diaper Pants | Extra Large Size Diapers | Diapers with Wetness Indicator | Upto 10 Hrs Absorption | 14-1...,3.7,"3,383",536,798
Philips Avent Natural 2. 0 Pink Feeding Bottle 260ml SCF034/10,4.5,"1,129",450,575
"Luv Lap Jungle Time Double Sided Water Proof Baby Play Mat, Reversible Play mats for Kids, Baby Carpet, for Crawling Baby,...",3.7,92,"1,325","1,599"
Babique Pluto Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (30 cm),4.2,"1,263",309,899
"Colgate Kids Toothpaste with 0% Artificial Preservatives, Colours, Sweeteners for Whitening (6-9 Years, Natural Strawberry...",4.2,"1,209",132,195
"Luv Lap Baby Safety Electrical Socket Plug Cover Guards, White,5Pcs",4.2,"1,536",129,179
"Philips Avent Advance Bottle sterilizer SCF291/00|| 10 mins Cycle, Natural steam Sterilization, Capacity Of 6 Baby Bottles",4.3,"1,686","4,140","4,995"
"Pikipo Plush Soft Ball (Small Size, 11cm) and Kitty Face Soft Rattle Combo, Multicolor (Material: Polyester & Plush)",4.3,979,284,399
"Chicco Toothpaste, Strawberry Flavour for 1Y to 6Y Baby, Fluoride-Free, Preservative-Free,Cavity Protection (50g)",4.1,31,157,179
"Supples Baby Wet Wipes with lid Enriched with Aloe Vera, 72 Wipes/Pack (Pack of 4)",4.4,"59,138",289,596
ANTIL'S® Baby Carrier Bag/Adjustable Hands Free 4 in 1 Baby/Baby Safety Belt/Child Safety Strip/Baby Sling Carrier Bag/Bab...,3.7,"2,529",394,"1,499"
"Luv Lap Baby & Mother Electric Nail Trimmer, Filer Cum Manicure Set, Ergonomic Design, Safe for Baby/Kid, Nail Filer and G...",3.6,524,579,825
"BabyGo Cushioned Potty Seat, Toilet Seat with Handle for Kids (Blue)",4.2,"12,918",314,545
"Mamaearth Vitamin C Day Cream For Face, with Vitamin C & SPF 20, for Skin Illumination - 50g",4,"3,182",556,599
"Pampers Premium Care Pants, Medium size baby Diapers, (M) 162 Count Softest ever Pampers Pants,",4.5,"1,459","2,667","3,597"
"Boniry Push Pop it Bubble Fidget Toy, Stress Relief and Anti-Anxiety Tools Sensory Toy for Autism to Relieve Stress for Ki...",4.1,"1,706",149,699
"LuvLap Banana Time 210ml Anti Spill, Interchangeable Sipper / Sippy Cup with Soft Silicone Spout and Straw BPA Free, 6m+ (...",4.2,"4,509",239,315
"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (10 cm, Rattle Ball)",3.8,915,105,999
"Synlark Baby Head Protector, Adjustable Size Baby Learn to Walk Or Run Soft Safety Helmet, Infant Anti-Fall Anti-Collisio...",4.1,93,299,699
"MamyPoko Tape Diapers for Babies, New Born mini, Pack of 30",4.3,"1,55,343",569,600
"Oral B Vitality Criss Cross Electric Rechargeable Toothbrush with Travel Case, with replaceable brush head included (White...",4.1,"6,870","1,740","1,999"
"Colgate Kids Barbie Manual Toothbrush,Multicolor,1 Piece",4.4,"1,121",63,79
DearJoy Big Fibre Filled Baby Pillow and Stuffed Animal Elephant Soft Toy of Plush Hugging Pillow Material for Kids Boy/Gi...,4.3,"3,983",585,"2,000"
"BabyPro Lab Tested - Certified (Set of 5) Baby Proofing Combo of 2 Metres Edge Guard & 4 Corner Protectors, Thin & Sleek D...",4,"1,515",349,500
"Pigeon Strawberry Toothpaste, For babies and Children,Fluroide -free,SLS free,Color free,Paraben Free, PH friendly,45 pack...",4.3,"6,018",264,330
